Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C14, C15, C17, C19, C2, C20, C21, C22, C23, C25, C27, C29, C3, C4, C5, C6, C7, C8",0603,21,0.1uF,C1591
"C10, C16, C18, C24, C26, C9",0805,6,10uF,C2922480
C13,0805,1,22uF,C98190
C28,0603,1,1uF,C5673
"D1, D2, D3, D4, D5, D6, D7, D8",SK6812-SIDE-A,8,SK6812SIDE-A,C2890037
"H1, H2, H3",MountingHole_M1.6,3,MotorHole,C2931389
"H4, H5, H6, H7",MountingHole_2.2mm_M2_ISO7380_Pad_NonVirtual,4,MountHole,"C2911210 or C2911532 (screw), C2961595 (nut)"
"H8, H9",MountingHole_2.2mm_M2_ISO7380_Pad_NonVirtual,2,AlignmentHole,
J1,532610371,1,BLDC,C293630
J2,USB4510_NoPaste,1,USB_C_Receptacle_USB2.0,C428463
J3,SolderPads_2mm_8,1,LCD,
J4,SolderPads_2mm_3_STRAIN,1,A,
J5,SolderPads_2mm_3_STRAIN,1,B,
L1,0805,1,3.3uH,C307744
Q1,SOT-23,1,MMBT4403,C78864
Q2,SOT-363_SC-70-6,1,UMH3N,C62892
"R1, R2",0603,2,5.1k,C105580
"R10, R11, R12, R17, R3, R7, R8, R9",0603,8,10k,C98220
"R13, R14, R15, R16",0603,4,2.2k,C4190
"R18, R19, R20, R21",2512,4,330,C19866
R4,0603,1,8.2k,C114637
"R5, R6",0603,2,100,C319953
TP1,TestPoint_Pad_D2.0mm_ValueSilk,1,5V,
TP10,TestPoint_Pad_D2.0mm_ValueSilk,1,CLK,
TP11,TestPoint_Pad_D2.0mm_ValueSilk,1,DO,
TP12,TestPoint_Pad_D2.0mm_ValueSilk,1,LED,
TP13,TestPoint_Pad_D2.0mm_ValueSilk,1,EN,
TP14,TestPoint_Pad_D2.0mm_ValueSilk,1,BOOT,
TP15,TestPoint_Pad_D2.0mm_ValueSilk,1,TX,
TP16,TestPoint_Pad_D2.0mm_ValueSilk,1,RX,
TP2,TestPoint_Pad_D2.0mm_ValueSilk,1,3.3v,
TP3,TestPoint_Pad_D2.0mm_ValueSilk,1,GND,
TP4,TestPoint_Pad_D2.0mm_ValueSilk,1,SDA,
TP5,TestPoint_Pad_D2.0mm_ValueSilk,1,SCL,
TP6,TestPoint_Pad_D2.0mm_ValueSilk,1,U,
TP7,TestPoint_Pad_D2.0mm_ValueSilk,1,V,
TP8,TestPoint_Pad_D2.0mm_ValueSilk,1,W,
TP9,TestPoint_Pad_D2.0mm_ValueSilk,1,CSN,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MT6701-CT,"C2856764, or C3003196"
U2,T-Micro32,1,T-Micro32_Plus,N/A
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U4,SOIC-16_3.9x9.9mm_P1.27mm,1,HX711,C43656
U5,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias_LargerViaHoles,1,TMC6300,N/A
U6,SOT-223-3_TabPin2_InGndOut,1,AP2114HA-3.3,C460314
U7,SOT-23-5,1,SN74LV1T34DBV,C100024
U8,VEML7700-TOP,1,VEML7700,C1850416
U9,SOT-223-3_TabPin2_GndOutIn,1,TS1117BCW33_RPG,"C6186, C35879, or others"
